date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2025-08-19;16:12:17;Cancelled;"SCALdRjnpk6vMFP";"Leverage Shares 3x NVIDIA";Security;Sell;XS2820604770;0;0,00;0,00;0,00;0,00;EUR
2025-08-19;14:36:23;Executed;"SCALXadWsgbrkfL";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;541;0,9227;-499,1807;0,00;0,00;EUR
2025-08-19;13:40:39;Cancelled;"SCALksGNqjtecgR";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;0;0,00;0,00;0,00;0,00;EUR
2025-08-19;11:34:36;Executed;"SCALEfsuZ6Daix8";"Leverage Shares 3x Long Artificial Intelligence";Security;Sell;XS2779861751;10,703;35,02;374,81906;0,00;66,40;EUR
2025-08-18;17:15:04;Executed;"SCALt8iJwP6pZyG";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;500;0,9423;-471,15;0,00;0,00;EUR
2025-08-18;15:42:24;Executed;"SCALqR4hUhgDpGW";"Leverage Shares 3x NVIDIA";Security;Sell;XS2820604770;5;56,005;280,025;0,00;61,47;EUR
2025-08-18;13:40:36;Executed;"SCAL7Kr5MZMS59y";"Leverage Shares 3x Salesforce.com ETP Securities";Security;Buy;IE00BK5BZT14;100;2,8392;-283,92;0,00;0,00;EUR
2025-08-18;07:36:02;Executed;"SCALRA1TAt4Agda";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;40;55,73;-2.229,20;0,00;0,00;EUR
2025-08-15;02:00:00;Executed;"WWEK 49948873";"Apple";Cash;Distribution;US0378331005;;;1,32;0,00;0,89;EUR
2025-08-13;22:03:28;Executed;"SCALS5nEHWNg1zc";"Leverage Shares 3x Alibaba ETP";Security;Sell;XS2337090851;150;4,3396;650,94;0,00;61,28;EUR
2025-08-13;19:03:23;Executed;"SCALpzg6QenWzYE";"Leverage Shares 3x AMD ETP Securities";Security;Sell;XS2337090422;500;1,0806;540,30;0,00;36,11;EUR
2025-08-13;19:00:44;Cancelled;"SCALctMNgeNHLgW";"Leverage Shares 3x Alibaba ETP";Security;Sell;XS2337090851;0;0,00;0,00;0,00;0,00;EUR
2025-08-13;15:31:30;Executed;"SCALx7GSu2Jmjtq";"Leverage Shares 3x AMD ETP Securities";Security;Sell;XS2337090422;500;1,0517;525,85;0,00;20,12;EUR
2025-08-11;10:47:16;Executed;"SCALZpAcVw42k4z";"Micron Technology";Security;Sell;US5951121038;10;102,00;1.020,00;0,00;8,62;EUR
2025-08-08;15:42:23;Executed;"SCALe2pT4Y8ddn5";"Leverage Shares -3x Short Tesla ETP";Security;Buy;XS2706232803;4.000;0,08;-320,00;0,00;0,00;EUR
2025-08-06;16:52:01;Executed;"SCALLkKaEAxkTd8";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;500;0,6975;-348,75;0,00;0,00;EUR
2025-08-06;16:28:03;Executed;"SCALP6iyjC4oB4z";"Leverage Shares 3x Long Semiconductors ETP Securities";Security;Buy;XS2399367502;100;3,999;-399,90;0,00;0,00;EUR
2025-08-06;07:35:03;Cancelled;"SCALZnYwLaNuf8d";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;0;0,00;0,00;0,00;0,00;EUR
2025-08-06;07:34:56;Cancelled;"SCALLcrubzQjgYw";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;0;0,00;0,00;0,00;0,00;EUR
2025-08-06;07:34:17;Executed;"SCALzxamh9F9L4Q";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;500;0,8068;-403,40;0,00;0,00;EUR
2025-08-06;02:00:00;Executed;"WWEK 49732341";"ASML Holding";Cash;Distribution;NL0010273215;;;2,21;0,00;0,76;EUR
